DD/MM/YYYY HH:MM:SS,light(lux)
13/08/2018 10:58:02,3.407
13/08/2018 11:03:02,3.407
13/08/2018 11:08:02,3.407
13/08/2018 11:13:02,3.407
13/08/2018 11:18:02,4.542
13/08/2018 11:23:02,3.407
13/08/2018 11:28:02,4.542
13/08/2018 11:33:02,4.542
13/08/2018 11:38:02,3.407
13/08/2018 11:43:02,4.542
13/08/2018 11:48:02,3.407
13/08/2018 11:53:02,3.407
13/08/2018 11:58:02,4.542
13/08/2018 12:03:02,4.542
13/08/2018 12:08:02,3.407
13/08/2018 12:13:02,4.542
13/08/2018 12:18:02,4.542
13/08/2018 12:23:02,5.678
13/08/2018 12:28:02,13.627
13/08/2018 12:33:02,5.678
13/08/2018 12:38:02,4.542
13/08/2018 12:43:02,5.678
13/08/2018 12:48:02,13.627
13/08/2018 12:53:02,3.407
13/08/2018 12:58:02,3.407
13/08/2018 13:03:02,3.407
13/08/2018 13:08:02,3.407
13/08/2018 13:13:02,3.407
13/08/2018 13:18:02,3.407
13/08/2018 13:23:02,3.407
13/08/2018 13:28:02,1.136
13/08/2018 13:33:02,1.136
13/08/2018 13:38:02,3.407
13/08/2018 13:43:02,3.407
13/08/2018 13:48:02,3.407
13/08/2018 13:53:02,4.542
13/08/2018 13:58:02,3.407
13/08/2018 14:03:02,3.407
13/08/2018 14:08:02,3.407
13/08/2018 14:13:02,3.407
13/08/2018 14:18:02,2.271
13/08/2018 14:23:02,3.407
13/08/2018 14:28:02,3.407
13/08/2018 14:33:02,3.407
13/08/2018 14:38:02,1.136
13/08/2018 14:43:02,3.407
13/08/2018 14:48:02,1.136
13/08/2018 14:53:02,1.136
13/08/2018 14:58:02,1.136
13/08/2018 15:03:02,1.136
13/08/2018 15:08:02,1.136
13/08/2018 15:13:02,3.407
13/08/2018 15:18:02,1.136
13/08/2018 15:23:02,2.271
13/08/2018 15:28:02,2.271
13/08/2018 15:33:02,2.271
13/08/2018 15:38:02,2.271
13/08/2018 15:43:02,2.271
13/08/2018 15:48:02,1.136
